start_time,end_time,predicted_class,predicted_class_str
2025-06-30 16:46:14.256000,2025-06-30 16:46:24.255900,3,sleep
2025-06-30 16:46:19.255950,2025-06-30 16:46:29.255850,3,sleep
2025-06-30 16:46:24.255900,2025-06-30 16:46:34.255800,3,sleep
2025-06-30 16:46:29.255850,2025-06-30 16:46:39.255750,3,sleep
2025-06-30 16:46:34.255800,2025-06-30 16:46:44.255700,3,sleep
2025-06-30 16:46:39.255750,2025-06-30 16:46:49.255650,3,sleep
2025-06-30 16:46:44.255700,2025-06-30 16:46:54.255600,3,sleep
2025-06-30 16:46:49.255650,2025-06-30 16:46:59.255550,3,sleep
2025-06-30 16:46:54.255600,2025-06-30 16:47:04.255500,3,sleep
2025-06-30 16:46:59.255550,2025-06-30 16:47:09.255450,3,sleep
2025-06-30 16:47:04.255500,2025-06-30 16:47:14.255400,3,sleep
2025-06-30 16:47:09.255450,2025-06-30 16:47:19.255350,3,sleep
2025-06-30 16:47:14.255400,2025-06-30 16:47:24.255300,3,sleep
2025-06-30 16:47:19.255350,2025-06-30 16:47:29.255250,3,sleep
2025-06-30 16:47:24.255300,2025-06-30 16:47:34.255200,3,sleep
2025-06-30 16:47:29.255250,2025-06-30 16:47:39.255150,3,sleep
2025-06-30 16:47:34.255200,2025-06-30 16:47:44.255100,3,sleep
2025-06-30 16:47:39.255150,2025-06-30 16:47:49.255050,3,sleep
2025-06-30 16:47:44.255100,2025-06-30 16:47:54.255000,3,sleep
2025-06-30 16:47:49.255050,2025-06-30 16:47:59.254950,3,sleep
2025-06-30 16:47:54.255000,2025-06-30 16:48:04.254900,3,sleep
2025-06-30 16:47:59.254950,2025-06-30 16:48:09.254850,3,sleep
2025-06-30 16:48:04.254900,2025-06-30 16:48:14.254800,3,sleep
2025-06-30 16:48:09.254850,2025-06-30 16:48:19.254750,3,sleep
2025-06-30 16:48:14.254800,2025-06-30 16:48:24.254700,3,sleep
2025-06-30 16:48:19.254750,2025-06-30 16:48:29.254650,3,sleep
2025-06-30 16:48:24.254700,2025-06-30 16:48:34.254600,3,sleep
2025-06-30 16:48:29.254650,2025-06-30 16:48:39.254550,3,sleep
2025-06-30 16:48:34.254600,2025-06-30 16:48:44.254500,3,sleep
2025-06-30 16:48:39.254550,2025-06-30 16:48:49.254450,3,sleep
2025-06-30 16:48:44.254500,2025-06-30 16:48:54.254400,3,sleep
2025-06-30 16:48:49.254450,2025-06-30 16:48:59.254350,3,sleep
2025-06-30 16:48:54.254400,2025-06-30 16:49:04.254300,3,sleep
2025-06-30 16:48:59.254350,2025-06-30 16:49:09.254250,3,sleep
2025-06-30 16:49:04.254300,2025-06-30 16:49:14.254200,3,sleep
2025-06-30 16:49:09.254250,2025-06-30 16:49:19.254150,3,sleep
2025-06-30 16:49:14.254200,2025-06-30 16:49:24.254100,3,sleep
2025-06-30 16:49:19.254150,2025-06-30 16:49:29.254050,3,sleep
2025-06-30 16:49:24.254100,2025-06-30 16:49:34.254000,3,sleep
2025-06-30 16:49:29.254050,2025-06-30 16:49:39.253950,3,sleep
2025-06-30 16:49:34.254000,2025-06-30 16:49:44.253900,3,sleep
2025-06-30 16:49:39.253950,2025-06-30 16:49:49.253850,3,sleep
2025-06-30 16:49:44.253900,2025-06-30 16:49:54.253800,3,sleep
2025-06-30 16:49:49.253850,2025-06-30 16:49:59.253750,3,sleep
